,,,,,,,
,,,,,,,
,,,,,,,
SRITIS,,,BENDROSIOS GYVENTOJŲ KULTŪROS UGDYMO,,,,
RODIKLIS/PRIORITETAS,,,Profesionaliojo meno ir kultūros prieinamumo visuomenei didinimas,Etnografinių tradicijų tęstinumas ir daugiakultūrio dialogo stiprinimas,Valstybės atkūrimo šimtmečio paminėjimas,Kūrybiško laisvalaikio ir užimtumo skatinimas,VISO
GAUTI PROJEKTAI,Paraiškos,Gautų ir užregistruotų paraiškų skaičius,64,23,18,17,122
,,Gautų ir užregistruotų paraiškų skaičius po perkėlimų tarp prioritetų,63,21,18,19,121
,,Atmestų paraiškų skaičius po administracinės atitikties ir tinkamumo vertinimo,8,4,5,5,22
,,Naudos ir kokybės vertinimui perduotų paraikšų skaičius,48,17,13,14,92
,,Finansuotų projektų skaičius,40,10,5,18,73
,,Nefinansuotų projektų skaičius,8,7,8,4,27
,Lėšos,Projektams skirta finansavimo suma,"1.413.385,00","26.909,00","61.000,00","71.529,00","1.572.823,00"
2019 m. planas,,,,,,,"1.090.000,00"
FAKTINIS ĮGYVENDINIMAS,"Pasirašyta sutarčių, Eur",Skirta lėšų (pagal pasirašytas sutartis),1404389 (iš jų dalinis finansavimas 1036688),26906,61000,71529,1572823
,Faktiškai panaudotos lėšos 2018 m. spalio 22 d.,"Faktinis lėšų panaudojimas pagal pateiktas projektų vykdymo ataskaitas už (I, II ir III ketv.)",915348,"17421,82",61000,"43727,3","1037497,12"
,"Pasiekti rodikliai pagal kvietime numatytus spalio 22 d. (I, II, III ketv.)",Nemokamų renginių skaičius – 50,79,8,11,20,118
,,"Vidutinis gyventojų, dalyvavusių nemokamuose renginiuose, skaičius – 150 tūkst. asm",2622,719,2788,1155,7284
,,Vykdant projektą „Kaunas – Europos kultūros sostinė 2022“ per metus  įgyvendintų veiklų skaičius – 50,313,,,,
,,Vidutinis projekto „Kaunas – Europos kultūros sostinė 2022“ veiklose dalyvavusių asmenų skaičius – 5500 asm.,36340,,,,
,,"Kauno miesto kūrėjų užsienyje pristatyti projektai, kūriniai – 10.",4,1,,,5
