,,,,,,
,,,,,,
,,,,,,
,,,,,,
SRITIS,,,"PAVELDOSAUGOS, INVESTICIJŲ IR TURIZMO PASLAUGŲ PLĖTOJIMAS",,,
RODIKLIS/PRIORITETAS,,,Kultūros paveldo objektų išsaugojimas,Miesto architektūrinio ir urbanistinio įvaizdžio gerinimas,"Miesto investicinio patrauklumo didinimas, atvykstamojo ir vietinio turizmo skatinimas",VISO
GAUTI PROJEKTAI,Paraiškos,Gautų ir užregistruotų paraiškų skaičius,2,2,3,7
,,Atmestų paraiškų skaičius po administracinės atitikties ir tinkamumo vertinimo,1,0,2,3
,,Naudos ir kokybės vertinimui perduotų paraikšų skaičius,1,2,1,4
,,Finansuotų projektų skaičius,1,2,1,4
,,Nefinansuotų projektų skaičius,0,0,0,0
,Lėšos,Projektams skirta finansavimo suma,"205.000,00","89.289,00","735.647,00","1.029.936,00"
,,"2019 m. planas, Eur",,"45.000,00",,
FAKTINIS ĮGYVENDINIMAS 2018,"Pasirašyta sutarčių, Eur",Skirta lėšų (pagal pasirašytas sutartis),,89289,,
,Faktiškai panaudotos lėšos 2018 m. spalio 22 d.,"Faktinis lėšų panaudojimas pagal pateiktas projektų vykdymo ataskaitas už (I, II ir III ketv.)",,43635,,
,"Pasiekti rodikliai pagal kvietime numatytus spalio 22 d. (I, II, III ketv.)","Objektų, kuriuose atlikti tvarkymo darbai, pritaikant juos lankytojams, skaičius – 4",,,,
,,Paveldo objektų lankytojų ir edukacinių užsiėmimų dalyvių skaičius – 200.,,,,
,,Į veiklas įtrauktų savanorių skaičius – 50.,,,,
,,"Suorganizuotų urbanistinių ir architektūrinių konkursų
skaičius – 3.
Suorganizuotų urbanistinių ir architektūrinių konkursų
skaičius – 3.
",,1,,
,,Suorganizuotų renginių architektūros temomis skaičius – 1.,,7,,
,,Naujai sukurtų darbo vietų skaičius – 240,,,,
,,Naujai sukurtų turizmo produktų skaičius – 10,,,,
,,Uždirbtų pajamų dydis – 113 000 Eur,,,,
,,Užmegztų naujų tikslinių kontaktų skaičius – 675,,,,
