,,,,,
,,,,,
,,,,,
SRITIS,,,SOCIALINIŲ PASLAUGŲ PLĖTRA,,
RODIKLIS/PRIORITETAS,,,"Specialistų, dirbančių pagal Globėjų ir įtėvių mokymo ir konsultavimo programą, paslaugų ir (ar) jas papildančių paslaugų globėjams ir įtėviams plėtra",Bendruomeninio tipo socialinių paslaugų teikimo skatinimas,VISO
GAUTI PROJEKTAI,Paraiškos,Gautų ir užregistruotų paraiškų skaičius,2,31,33
,,Atmestų paraiškų skaičius po administracinės atitikties ir tinkamumo vertinimo,0,5,5
,,Naudos ir kokybės vertinimui perduotų paraikšų skaičius,2,26,28
,,Finansuotų projektų skaičius,2,20,22
,,Nefinansuotų projektų skaičius,0,6,6
,Lėšos,Projektams skirta finansavimo suma,"12.540,00","235.060,00","247.600,00"
,2019 m. planas,,,,
FAKTINIS ĮGYVENDINIMAS 2018,"Pasirašyta sutarčių, Eur",Skirta lėšų (pagal pasirašytas sutartis),12540,235060,247600
,Faktiškai panaudotos lėšos 2018 m. spalio 22 d.,"Faktinis lėšų panaudojimas pagal pateiktas projektų vykdymo ataskaitas už (I, II ir III ketv.)",7710,157671,165380
,"Pasiekti rodikliai pagal kvietime numatytus rodiklius spalio 22 d. (I, II, III ketv.)","Naujų globėjų, įtėvių skaičius – 50.","Įtėvių, globėjų gavusių paslaugas skaičius – 55.",,
,,Savitarpio pagalbos grupių skaičius – 3.,"Savitarpio pagalbos grupių skaičius – 3,",,
,,Inovatyvių globos ir įvaikinimo viešinimo priemonių skaičius – 3.,"Mokymų grupės – 2;
Inovatyvių globos ir įvaikinimo viešinimo priemonių skaičius – 6 skirtingos priemonės (radijo laidos (18 ), reklaminis klipas, liudijimai parapijose straipsniai (10), brošiūrėlės
Mokymų grupės – 2;
Inovatyvių globos ir įvaikinimo viešinimo priemonių skaičius – 6 skirtingos priemonės (radijo laidos (18 ), reklaminis klipas, liudijimai parapijose straipsniai (10), brošiūrėlės
",,
,,"Asmenų, gavusių socialinių įgūdžių ugdymo ir palaikymo paslaugas bendruomeniniame dienos centre, asmeninio asistento paslaugą, skaičius – 150",,"Asmenų, gavusių socialinių įgūdžių ugdymo ir palaikymo paslaugas bendruomeniniame dienos centre, asmeninio asistento paslaugą, skaičius – 180; ",
,,"Asmenų, gavusių kompleksines socialinės reabilitacijos paslaugas, skaičius – 50.",,"Asmenų, gavusių kompleksines socialinės reabilitacijos paslaugas, skaičius –  540;",
,,"Mobilių socialinių darbuotojų, jų padėjėjų, asistentų ir (arba) savanorių grupių skaičius – 2.",,"Mobilių socialinių darbuotojų, jų padėjėjų, asistentų ir (arba) savanorių grupių skaičius – nesudaryta sutarčių; ",
,,"Asmenų, gavusių integracijos į bendruomenę, užimtumo, darbinių, profesinių įgūdžių ugdymo organizavimo paslaugas, skaičius – 100–150.",,"Asmenų, gavusių integracijos į bendruomenę, užimtumo, darbinių, profesinių įgūdžių ugdymo organizavimo paslaugas, skaičius – nesudaryta sutarčių; ",
,,"Asmenų, gavusių socialinių įgūdžių ugdymo ir palaikymo dienos centre paslaugas, skaičius – 30.",,"Asmenų, gavusių socialinių įgūdžių ugdymo ir palaikymo dienos centre paslaugas, skaičius – 30;",
,,"Užimtumo ir reabilitacijos paslaugas gavusių vaikų, turinčių emocijų ir elgesio sutrikimų, skaičius – 100.",,"Užimtumo ir reabilitacijos paslaugas gavusių vaikų, turinčių emocijų ir elgesio sutrikimų, skaičius – 159.",
,,"Dienos užimtumo centrų paslaugas gavusių vaikų, turinčių  autizmo sutrikimų, skaičius – 15–20.",,"Dienos užimtumo centrų paslaugas gavusių vaikų, turinčių autizmo sutrikimų, skaičius – 8;",
,,"Suorganizuotų prevencinių priemonių prieš smurtą artimoje aplinkoje skaičius – 3, socialines paslaugas (konsultavimo, tarpininkavimo, psichologo ir kt.) gavusių asmenų skaičius –           100–150.",,"Suorganizuotų prevencinių priemonių prieš smurtą artimoje aplinkoje skaičius – 4 skirtingos priemonės (3 apskrito stalo diskusijos, 17 prevencinių paskaitų, 4 mobilių komandų prevencinės išvykos, šeimų savaitgalis)
socialines paslaugas (konsultavimo, tarpininkavimo, psichologo ir kt.) gavusių asmenų skaičius – 684
",
