,,,,,,
,,,,,,
,,,,,,
SRITIS,,,FIZINIO AKTYVUMO IR SPORTO PLĖTOJIMAS,,,
RODIKLIS/PRIORITETAS,,,Vaikų ir jaunimo sporto meistriškumo skatinimas,"Kauno, kaip sporto miesto, įvaizdžio gerinimas",Aktyvaus laisvalaikio ir fizinio aktyvumo veiklų organizavimas,VISO
GAUTI PROJEKTAI,Paraiškos,Gautų ir užregistruotų paraiškų skaičius,17,26,66,109
,,Gautų ir užregistruotų paraiškų skaičius po perkėlimų tarp prioritetų,14,21,74,109
,,Atmestų paraiškų skaičius po administracinės atitikties ir tinkamumo vertinimo,5,3,11,19
,,Naudos ir kokybės vertinimui perduotų paraikšų skaičius,12,18,63,93
,,Finansuotų projektų skaičius,12,17,58,87
,,Nefinansuotų projektų skaičius,0,1,5,6
,Lėšos,Projektams skirta finansavimo suma,"78.205,00","2.925.190,00","472.500,00","3.475.895,00"
,2019 m. planas,,,,,"3.500.000,00"
FAKTINIS ĮGYVENDINIMAS 2018,"Pasirašyta sutarčių, Eur",Skirta lėšų (pagal pasirašytas sutartis),78205,2925190,468240,3471635
,Faktiškai panaudotos lėšos 2018 m. spalio 22 d.,"Faktinis lėšų panaudojimas pagal pateiktas projektų vykdymo ataskaitas už (I, II ir III ketv.)",50867,2809431,"400383,89","3260681,89"
,"Pasiekti rodikliai pagal kvietime numatytus rodiklisu spalio 22 d. (I, II, III ketv.)",Suteiktos sporto mokymo (užimtumo) paslaugos mokyklinio amžiaus vaikams ir jaunimui (6–19 m. imtinai) – 800 asmenų.,2018 m. projektų finansavimo sutartyse numatyta 1013 dalyvių/   I-III k. 9132018 m. projektų finansavimo sutartyse numatyta 1013 dalyvių/   I-III k. 913,,,
,,"Lietuvos čempionatuose, pirmenybėse ir žaidynėse dalyvavusių sportininkų dalis (proc.) nuo viso 2.1.1 papunktyje nurodytoje veikloje dalyvavusiųjų skaičiaus.  ","Lietuvos čempionatuose, pirmenybėse ir žaidynėse dalyvavusių sportininkų dalis (proc.) nuo viso 2.1.1 papunktyje nurodytoje veikloje dalyvavusiųjų skaičiaus - 63,8 proc metų gale tikslūs duomenysLietuvos čempionatuose, pirmenybėse ir žaidynėse dalyvavusių sportininkų dalis (proc.) nuo viso 2.1.1 papunktyje nurodytoje veikloje dalyvavusiųjų skaičiaus - 63,8 proc metų gale tikslūs duomenys",,,
,,Nacionalinius čempionatus laimėjusių komandų skaičius – 4.,,"Nacionaliniuose čempionatuose prizinę vietą laimėti planuoja 9 komandos 
2017/2018 m. sezone nac.čempionatus laimėjo 4 komandos. 2018/2019 m. sezonas startavo 09-10 mėn., baigsis 2019 m. 04-05 mėn.
Nacionaliniuose čempionatuose prizinę vietą laimėti planuoja 9 komandos 
2017/2018 m. sezone nac.čempionatus laimėjo 4 komandos. 2018/2019 m. sezonas startavo 09-10 mėn., baigsis 2019 m. 04-05 mėn.
",,
,,"Sportininkų, įtrauktų į nacionalines rinktines skaičius – 30.",,"Metų pabaigoje bus pateiktas sportininkų, įtrauktų į nac. rinktines skaičius",,
,,"Sportinių žaidimų sporto šakų, kurių nacionalinėse aukščiausiose lygose dalyvauja Kauno miesto komandos, skaičius – 6",,"Sportinių žaidimų sporto šakų, kurių nacionalinėse aukščiausiose lygose dalyvauja Kauno miesto komandos, skaičius – 9;",,
,,Reprezentacinių sporto renginių skaičius – 3.,I-III ketvirčiuose įvyko 4 renginiai,Reprezentacinių sporto renginių skaičius – 5.,,
,,Įtrauktų į socialines veiklas dalyvių skaičius – 500.,I-III ketvirčiuose įtraukta 769 dalyviai,Įtrauktų į socialines veiklas dalyvių skaičius – 1705.,,
,,Sporto renginių skaičius – 60,I-III k. 67,,Sporto renginių skaičius – 83.,
,,"Dalyvaujančiųjų sporto renginiuose skaičiaus augimas (proc.) – ne mažiau kaip 5 proc., palyginti su praėjusiais metais.","30956 (lyginsiu metams pasibaigus, nes nežinau 2017 m. 3 k. duomenų)",,Dalyvaujančiųjų sporto renginiuose skaičiaus augimas (proc.) – 49 proc. daugiau palyginti su praėjusiais metais.,
,,Į reguliarią fizinio aktyvumo veiklą įtraukta ne mažiau nei 5 proc. miesto gyventojų.,18448,,"Į reguliarią fizinio aktyvumo veiklą įtraukta ne mažiau nei 5 proc. miesto gyventojų (14510 dalyvių – 4,96 proc.) .",
